"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2024","10.50","10.20","10.60","10.20","53.61K","0.00%"
"07/16/2024","10.50","10.30","10.60","10.30","81.03K","0.96%"
"07/15/2024","10.40","10.40","10.50","10.10","10.16K","0.00%"
"07/14/2024","10.40","10.40","10.60","10.30","68.34K","-1.89%"
"07/11/2024","10.60","10.90","10.90","10.60","116.46K","-2.75%"
"07/10/2024","10.90","10.90","11.00","10.60","100.79K","0.00%"
"07/09/2024","10.90","10.70","10.90","10.50","100.68K","3.81%"
"07/08/2024","10.50","10.40","10.60","10.20","111.42K","0.96%"
"07/07/2024","10.40","10.20","10.50","10.20","231.60K","1.96%"
"07/04/2024","10.20","9.90","10.30","9.90","116.40K","4.08%"
"07/03/2024","9.80","9.80","10.00","9.80","164.20K","-1.01%"
"07/02/2024","9.90","9.70","10.00","9.70","23.53K","0.00%"
"06/30/2024","9.90","9.80","10.00","9.70","99.17K","1.02%"
"06/27/2024","9.80","9.70","10.00","9.70","128.93K","-1.01%"
"06/26/2024","9.90","9.80","9.90","9.70","82.67K","1.02%"
"06/25/2024","9.80","9.70","9.90","9.70","183.13K","-1.01%"
"06/24/2024","9.90","9.60","9.90","9.60","114.62K","1.02%"
"06/23/2024","9.80","9.90","9.90","9.80","27.71K","0.00%"
"06/20/2024","9.80","9.70","9.90","9.70","35.64K","1.03%"
"06/19/2024","9.70","9.70","9.90","9.70","34.99K","0.00%"
"06/13/2024","9.70","9.70","9.80","9.70","53.95K","1.04%"
"06/12/2024","9.60","9.70","9.90","9.50","25.18K","-1.03%"
"06/11/2024","9.70","9.60","9.80","9.60","13.68K","0.00%"
"06/10/2024","9.70","9.70","10.10","9.70","51.71K","-2.02%"
"06/09/2024","9.90","10.30","10.30","9.80","42.33K","-1.98%"
"06/06/2024","10.10","10.10","10.20","10.10","346.87K","-2.88%"
"06/05/2024","10.40","10.20","10.50","10.20","205.35K","0.97%"
"06/04/2024","10.30","10.10","10.40","10.10","233.59K","-0.96%"
"06/03/2024","10.40","10.00","10.50","10.00","205.30K","0.97%"
"06/02/2024","10.30","10.30","10.30","10.00","222.46K","0.00%"
"05/30/2024","10.30","10.00","10.30","10.00","254.73K","0.00%"
"05/29/2024","10.30","9.90","10.30","9.90","204.87K","0.98%"
"05/28/2024","10.20","9.80","10.30","9.80","258.70K","4.08%"
"05/27/2024","9.80","10.00","10.00","9.70","326.38K","-2.00%"
"05/26/2024","10.00","9.90","10.10","9.90","298.03K","-1.96%"
"05/23/2024","10.20","10.50","10.50","10.20","247.12K","-2.86%"
"05/21/2024","10.50","10.50","10.50","10.50","212.86K","-2.78%"
"05/20/2024","10.80","10.80","10.80","10.80","203.24K","-2.70%"
"05/16/2024","11.10","11.00","11.10","10.90","407.11K","0.91%"
"05/15/2024","11.00","11.30","11.30","10.80","321.63K","-0.90%"
"05/14/2024","11.10","11.10","11.20","11.00","954.46K","0.00%"
"05/13/2024","11.10","11.10","11.30","11.10","957.82K","0.00%"
"05/12/2024","11.10","11.00","11.20","11.00","365.50K","0.91%"
"05/09/2024","11.00","11.20","11.20","11.00","1.29M","-0.90%"
"05/08/2024","11.10","11.30","11.40","11.00","1.43M","-0.89%"
"05/07/2024","11.20","11.40","11.40","11.10","821.04K","0.00%"
"05/06/2024","11.20","11.40","11.40","11.00","645.07K","0.90%"
"05/05/2024","11.10","11.50","11.50","11.10","466.19K","-2.63%"
"05/02/2024","11.40","11.50","11.50","11.30","272.46K","0.00%"
"04/30/2024","11.40","11.40","11.50","11.20","320.92K","0.00%"
"04/29/2024","11.40","11.20","11.50","11.10","271.49K","0.88%"
"04/28/2024","11.30","11.20","11.40","11.10","177.59K","0.89%"
"04/25/2024","11.20","11.10","11.30","10.80","325.65K","0.90%"
"04/24/2024","11.10","11.10","11.40","11.00","331.76K","-0.89%"
"04/23/2024","11.20","11.30","11.40","11.10","406.96K","-0.88%"
"04/22/2024","11.30","11.30","11.40","11.20","86.30K","0.00%"
"04/21/2024","11.30","11.50","11.50","11.20","131.43K","-1.74%"
"04/18/2024","11.50","11.50","11.60","11.40","129.14K","-0.86%"
"04/17/2024","11.60","11.70","11.70","11.60","89.99K","0.00%"
"04/16/2024","11.60","11.90","11.90","11.60","139.23K","-0.85%"
"04/15/2024","11.70","11.70","11.80","11.60","4.41K","-0.85%"
"04/09/2024","11.80","11.80","11.80","11.70","8.99K","0.85%"
"04/08/2024","11.70","11.60","11.80","11.60","9.00K","0.00%"
"04/04/2024","11.70","11.60","11.80","11.60","54.89K","0.86%"
"04/03/2024","11.60","11.60","11.70","11.50","79.78K","0.87%"
"04/02/2024","11.50","11.60","11.60","11.50","197.86K","-0.86%"
"04/01/2024","11.60","11.60","11.70","11.50","75.34K","-0.85%"
"03/31/2024","11.70","11.50","11.80","11.50","54.11K","0.86%"
