"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2023","32.55","32.55","32.55","32.55","1.24K","0.00%"
"09/13/2023","32.55","32.55","32.55","32.55","1.53K","0.00%"
"09/12/2023","32.55","32.55","32.55","32.55","1.26K","0.00%"
"09/11/2023","32.55","32.55","32.55","32.55","2.08K","0.00%"
"09/10/2023","32.55","32.55","32.55","32.55","1.31K","0.00%"
"09/07/2023","32.55","32.55","32.55","32.55","2.04K","0.00%"
"09/05/2023","32.55","32.55","32.55","32.55","1.36K","0.00%"
"09/04/2023","32.55","32.55","32.55","32.55","1.81K","0.00%"
"09/03/2023","32.55","32.55","32.55","32.55","0.81K","0.00%"
"08/31/2023","32.55","32.55","32.55","32.55","2.48K","0.00%"
"08/30/2023","32.55","32.55","32.55","32.55","2.16K","0.00%"
"08/29/2023","32.55","32.55","32.55","32.55","10.02K","0.00%"
"08/28/2023","32.55","32.55","32.55","32.55","5.10K","0.00%"
"08/27/2023","32.55","32.55","32.55","32.55","2.07K","0.00%"
"08/24/2023","32.55","32.55","32.55","32.55","3.82K","0.00%"
"08/23/2023","32.55","32.55","32.55","32.55","1.34K","0.00%"
"08/22/2023","32.55","32.55","32.55","32.55","6.12K","0.00%"
"08/21/2023","32.55","32.55","32.55","32.55","7.69K","0.00%"
"08/20/2023","32.55","32.55","32.55","32.55","7.12K","0.00%"
"08/17/2023","32.55","32.55","32.55","32.55","0.26K","0.00%"
"08/16/2023","32.55","32.55","32.55","32.55","1.59K","0.00%"
"08/14/2023","32.55","32.55","32.55","32.55","0.90K","0.00%"
"08/13/2023","32.55","32.55","32.55","32.55","2.25K","0.00%"
"08/10/2023","32.55","32.55","32.55","32.55","2.45K","0.00%"
"08/09/2023","32.55","32.55","32.55","32.55","16.02K","0.00%"
"08/08/2023","32.55","32.55","32.55","32.55","0.33K","0.00%"
"08/07/2023","32.55","32.55","32.55","32.55","5.45K","0.00%"
"08/06/2023","32.55","32.55","32.55","32.55","0.22K","0.00%"
