"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2025","25.90","26.00","26.00","25.90","81.61K","0.00%"
"03/12/2025","25.90","25.90","25.90","25.80","85.87K","0.39%"
"03/11/2025","25.80","25.90","26.00","25.70","168.95K","-0.39%"
"03/10/2025","25.90","25.80","25.90","25.80","164.90K","0.78%"
"03/09/2025","25.70","26.00","26.00","25.70","108.40K","-0.77%"
"03/06/2025","25.90","25.80","26.00","25.80","26.47K","0.00%"
"03/05/2025","25.90","25.90","26.00","25.90","52.12K","0.00%"
"03/04/2025","25.90","25.90","26.00","25.90","130.11K","0.00%"
"03/03/2025","25.90","26.00","26.10","25.90","185.38K","-0.38%"
"03/02/2025","26.00","26.00","26.10","26.00","128.26K","0.00%"
"02/27/2025","26.00","25.90","26.10","25.90","202.10K","0.00%"
"02/26/2025","26.00","26.30","26.30","25.90","158.74K","-0.38%"
"02/25/2025","26.10","25.90","26.20","25.90","116.42K","0.38%"
"02/24/2025","26.00","26.00","26.20","26.00","164.25K","-0.38%"
"02/23/2025","26.10","26.10","26.20","25.90","235.51K","0.00%"
"02/20/2025","26.10","25.90","26.10","25.80","292.94K","1.16%"
"02/19/2025","25.80","25.60","25.90","25.60","94.87K","-0.39%"
"02/18/2025","25.90","26.00","26.10","25.80","312.44K","0.00%"
"02/17/2025","25.90","25.90","26.10","25.90","272.59K","0.00%"
"02/16/2025","25.90","25.70","26.00","25.70","172.61K","0.78%"
"02/13/2025","25.70","25.40","25.70","25.20","112.45K","0.39%"
"02/12/2025","25.60","25.70","25.80","25.50","163.57K","-0.39%"
"02/11/2025","25.70","25.70","25.90","25.60","244.63K","-0.39%"
"02/10/2025","25.80","25.70","25.90","25.50","423.21K","0.39%"
"02/09/2025","25.70","25.80","25.90","25.60","389.56K","0.00%"
"02/06/2025","25.70","25.70","25.80","25.50","384.13K","0.39%"
"02/05/2025","25.60","24.00","25.70","24.00","308.25K","0.00%"
"02/04/2025","25.60","25.10","25.70","25.10","976.88K","1.19%"
"02/03/2025","25.30","24.80","25.50","24.70","763.96K","2.43%"
"02/02/2025","24.70","24.20","24.90","24.20","324.40K","2.07%"
"01/30/2025","24.20","24.20","24.30","24.10","442.72K","0.41%"
"01/29/2025","24.10","24.20","24.30","24.00","520.39K","-0.41%"
"01/28/2025","24.20","24.20","24.30","24.10","115.24K","0.00%"
"01/27/2025","24.20","24.30","24.30","24.10","98.05K","-0.41%"
"01/26/2025","24.30","24.30","24.30","24.20","287.58K","0.00%"
"01/23/2025","24.30","24.30","24.40","24.20","123.28K","0.00%"
